City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,deqen,29.9618,90.7188,-0.51,93,100,1.29,CN,1701977158
83,avarua,-21.2078,-159.775,26.03,65,40,7.2,CK,1701977158
84,zhangatas,43.5667,69.75,-2.7,49,100,5.71,KZ,1701977158
85,acarau,-2.8856,-40.12,29.77,64,12,8.37,BR,1701977159
86,hammerfest,70.6634,23.6821,-4.75,63,0,5.14,NO,1701977159
87,mul,20.0667,79.6667,19.62,93,42,1.38,IN,1701977159
88,mugia,43.1041,-9.2179,15.09,82,100,7.0,ES,1701977159
89,mossel bay,-34.1831,22.146,21.96,76,0,3.13,ZA,1701977160
90,anori,-3.7728,-61.6442,34.7,43,64,0.76,BR,1701977160
91,cockburn town,21.4612,-71.1419,25.35,67,100,8.31,TC,1701977160
92,barcelos,41.5388,-8.6151,14.08,91,99,3.04,PT,1701976977
93,college,64.8569,-147.8028,-18.01,84,20,3.6,US,1701977161
94,fort st. john,56.2499,-120.8529,-4.06,80,20,5.66,CA,1701977161
95,luena,-11.7833,19.9167,18.1,94,75,8.75,AO,1701977161
96,haiku-pauwela,20.9219,-156.3051,25.58,74,20,3.09,US,1701977161
97,wanxian,30.8039,108.3897,13.36,72,100,1.48,CN,1701977162
98,west island,-12.1568,96.8225,25.99,83,40,5.66,CC,1701977162
99,vorgashor,67.5833,63.95,-26.6,98,100,2.01,RU,1701977162
100,tazovsky,67.4667,78.7,-24.78,97,100,4.79,RU,1701977163
101,taroa,8.7058,171.2275,27.66,83,7,9.95,MH,1701977163
102,lebu,-37.6167,-73.65,16.05,76,1,6.56,CL,1701977163
103,banska stiavnica,48.4486,18.91,-3.96,99,88,0.85,SK,1701977164
104,mbuji-mayi,-6.15,23.6,21.91,98,100,2.15,CD,1701977164
105,kruisfontein,-34.0033,24.7314,19.94,68,0,1.61,ZA,1701977164
106,lucapa,-8.4192,20.7447,20.38,94,100,0.99,AO,1701977164
107,northam,51.0333,-4.2167,13.14,95,100,7.41,GB,1701977165
108,mili,6.0815,171.735,27.88,82,15,8.99,MH,1701977165
109,luderitz,-26.6481,15.1594,17.64,79,0,6.93,NA,1701977165
110,hithadhoo,-0.6,73.0833,27.54,78,100,4.63,MV,1701976884
111,saint-philippe,-21.3585,55.7679,23.77,87,55,4.09,RE,1701977166
112,labrador city,52.9463,-66.9114,-11.05,79,100,3.09,CA,1701977166
113,esquel,-42.9,-71.3167,23.26,34,13,2.0,AR,1701977166
114,diego de almagro,-26.3667,-70.05,29.21,16,0,6.02,CL,1701977166
115,port elizabeth,-33.918,25.5701,21.17,94,0,0.0,ZA,1701977167
116,utrik,11.2278,169.8474,27.49,81,15,10.83,MH,1701977167
117,wailua homesteads,22.0669,-159.378,24.86,83,0,2.57,US,1701977167
118,saint-mandrier-sur-mer,43.078,5.929,10.85,76,100,2.68,FR,1701977168
119,santa elena de uairen,4.6167,-61.1333,24.51,72,100,2.66,VE,1701977168
120,taoudenni,22.6783,-3.9836,23.91,17,100,4.65,ML,1701977168
121,palikir - national government center,6.9248,158.1611,28.41,74,100,4.12,FM,1701977169
122,sa pa,22.3402,103.8441,11.76,80,92,0.52,VN,1701977169
123,general villegas,-35.0328,-63.0125,28.97,31,0,4.16,AR,1701977025
124,santa rosalia,27.3167,-112.2833,25.75,24,0,1.82,MX,1701977169
125,mount pearl,47.5166,-52.7813,-2.7,82,75,5.14,CA,1701977170
126,sisimiut,66.9395,-53.6735,-5.2,67,100,3.22,GL,1701977170
127,campbellton,48.0075,-66.6727,-3.75,70,64,3.69,CA,1701976921
128,carnarvon,-24.8667,113.6333,21.26,70,0,10.22,AU,1701977170
129,thames,-37.1333,175.5333,13.25,78,100,1.94,NZ,1701977171
130,hawaiian paradise park,19.5933,-154.9731,26.05,86,75,2.57,US,1701977171
131,alofi,-19.0595,-169.9187,27.94,78,40,4.12,NU,1701977171
132,grand falls-windsor,48.9332,-55.6649,-1.94,83,99,2.68,CA,1701977171
133,la passe,45.5549,-0.8967,12.21,97,100,5.44,FR,1701977172
134,olonkinbyen,70.9221,-8.7187,-1.54,77,11,4.86,SJ,1701977125
135,san antonio de pale,-1.4014,5.6325,25.96,83,99,3.54,GQ,1701977172
136,aasiaat,68.7098,-52.8699,-11.34,88,100,2.17,GL,1701977172
137,port lincoln,-34.7333,135.8667,20.18,64,100,0.7,AU,1701977173
138,novyy urengoy,66.0833,76.6333,-20.34,96,100,6.25,RU,1701977173
139,nyakahanga,-1.6033,31.1414,15.37,94,1,0.45,TZ,1701977174
140,kapa'a,22.0752,-159.319,25.61,82,0,2.57,US,1701977174
141,kaoma,-14.7833,24.8,21.22,80,85,2.06,ZM,1701977174
142,tumut,-35.3,148.2167,18.95,76,83,1.34,AU,1701977175
143,mananara,-16.1667,49.7667,25.09,80,100,2.94,MG,1701977175
144,asadabad,34.7824,48.1185,5.97,63,100,2.08,IR,1701977175
145,burutu,5.3509,5.5076,26.99,82,100,3.03,NG,1701977175
146,bamboo flat,11.7,92.7167,25.05,94,10,1.03,IN,1701977176
147,farasan,16.7022,42.1183,27.66,65,6,3.06,SA,1701977120
148,mejit,10.2753,170.8646,27.6,82,97,10.93,MH,1701976877
149,weno,7.4515,151.8468,26.97,89,100,4.63,FM,1701977176
150,kourou,5.1552,-52.6478,31.03,77,45,4.11,GF,1701977177
151,recreo,-29.2818,-65.061,33.28,25,0,5.93,AR,1701977177
152,constantia,44.1833,28.65,1.5,94,100,9.0,RO,1701977177
153,kerikeri,-35.2268,173.9474,14.95,88,1,0.45,NZ,1701977177
154,paphos,34.7667,32.4167,15.68,94,0,2.57,CY,1701977178
155,fukuecho,32.6881,128.8419,12.82,60,0,3.52,JP,1701977179
156,jamestown,42.097,-79.2353,3.77,78,100,4.12,US,1701977179
157,trairi,-3.2778,-39.2689,29.29,64,9,6.2,BR,1701977048
158,lerwick,60.1545,-1.1494,6.0,73,100,15.1,GB,1701977179
159,fort bragg,35.139,-79.006,13.28,36,0,5.14,US,1701977180
160,tommot,58.9564,126.2925,-36.04,98,100,0.43,RU,1701977180
161,xiva,41.3783,60.3639,-3.01,32,99,6.31,UZ,1701977180
162,barysh,53.6553,47.1123,-24.86,100,80,1.41,RU,1701977181
163,waingapu,-9.6567,120.2641,26.63,84,84,1.87,ID,1701977181
164,reidsville,36.3549,-79.6645,12.15,32,0,4.63,US,1701977053
165,robertsport,6.7533,-11.3686,27.68,79,50,4.24,LR,1701977182
166,cabo san lucas,22.8909,-109.9124,31.45,49,0,1.34,MX,1701977182
